age,total_hires,total_terminations,termination_rate
32,600,56,9.33
39,606,62,10.23
33,621,64,10.31
40,596,55,9.23
29,573,61,10.65
52,579,62,10.71
43,560,56,10.00
34,652,75,11.50
26,639,60,9.39
47,634,74,11.67
57,449,41,9.13
51,623,71,11.40
55,598,76,12.71
50,605,70,11.57
56,551,54,9.80
36,627,64,10.21
23,572,65,11.36
24,562,68,12.10
28,628,59,9.39
44,598,68,11.37
31,616,70,11.36
49,600,59,9.83
25,599,63,10.52
30,594,66,11.11
48,608,75,12.34
53,629,60,9.54
45,558,58,10.39
35,630,78,12.38
38,586,66,11.26
22,671,76,11.33
41,599,61,10.18
46,556,48,8.63
42,587,69,11.75
21,626,64,10.22
54,624,46,7.37
27,553,63,11.39
37,628,83,13.22
20,77,9,11.69
